# drivers,s,efr,repair,duplex rate,MRCA 0,MRCA 1,MRCA 2,MRCA 3,MRCA 4,MRCA 5-300,egfr_c3h_sd_mse,braf_c3h_sd_mse,hras1_c3h_sd_mse,hras0_c3h_sd_mse,MRCA 0 all 4,MRCA 1 all 4,MRCA 2 all 4,MRCA 3 all 4
2,0.6,0.35,0.6,0.05,0.025600630169358016,0.4442693974005514,0.30405671524222133,0.12879086254430877,0.055927530523828275,0.04135486411973218,0.0,0.008645135880267822,0.019084708528767234,0.10439936983064199,0.3076923076923077,0.3484042553191489,0.3639896373056995,0.42813455657492355
2,0.6,0.35,0.6,0.15,0.09271966527196653,0.42460251046025105,0.2716317991631799,0.11949790794979079,0.051548117154811716,0.04,0.0,0.010363232082296565,0.025163946595469857,0.03728033472803348,0.30505415162454874,0.3401655498620418,0.3585951940850277,0.40336134453781514
2,0.6,0.45,0.2,0.05,0.007214369846878681,0.254416961130742,0.31802120141342755,0.21687279151943462,0.10865724381625441,0.09481743227326266,0.0,0.10108571016057136,0.0,0.135317498452019,0.30612244897959184,0.234375,0.3060185185185185,0.31907671418873046
2,0.6,0.45,0.2,0.15,0.04011681524746388,0.2888871810636336,0.29488164770980635,0.18913310790039964,0.10013833384568091,0.08684291423301568,0.0,0.0581555654612646,0.0,0.0944866386172927,0.19348659003831417,0.24980047885075818,0.31873859786291375,0.34335635920357577
2,0.6,0.45,0.3,0.05,0.00865717583686033,0.26856483262793385,0.3324355521354367,0.20757983839938438,0.09772989611388996,0.08503270488649481,0.0,0.08493770762984174,0.0,0.130337722851054,0.26666666666666666,0.27363896848137537,0.3454861111111111,0.3345690454124189
2,0.6,0.45,0.3,0.15,0.045312647810046354,0.3117018257496926,0.3028095733610822,0.1771828587645445,0.08967931132343203,0.07331378299120235,0.0,0.03809756792490209,0.0,0.08641295190113304,0.20041753653444677,0.2889226100151745,0.3508278662917838,0.3390282968499733
2,0.6,0.45,0.4,0.05,0.01204510507432086,0.3111225012813942,0.31727319323423886,0.19528446950281908,0.09226037929267042,0.07201435161455663,0.0,0.055992700878837585,0.0,0.12311925529755034,0.3191489361702128,0.30230642504118616,0.3392568659127625,0.34908136482939633
2,0.6,0.45,0.4,0.15,0.056226821390118434,0.33329345615504247,0.2951309965306855,0.1704749371934442,0.08111018064361766,0.06376360808709176,0.0,0.030474937193444185,0.0,0.07451312764481229,0.24680851063829787,0.30868628858578606,0.3453587353060397,0.35929824561403506
2,0.6,0.45,0.5,0.05,0.0111731843575419,0.34951117318435754,0.31843575418994413,0.1805167597765363,0.07995810055865922,0.060405027932960896,0.0,0.04051675977653629,0.0,0.12058503036220881,0.3125,0.3146853146853147,0.35526315789473684,0.3597678916827853
2,0.6,0.45,0.5,0.15,0.06581132075471698,0.35954716981132073,0.2922264150943396,0.15803773584905662,0.07230188679245284,0.052075471698113204,0.0,0.018037735849056602,0.007924528301886793,0.06418867924528303,0.24770642201834864,0.32073887489504616,0.3465909090909091,0.36867239732569246
2,0.6,0.45,0.6,0.05,0.02426944031698861,0.4101040118870728,0.31996037642397224,0.13719663199603765,0.06191183754333829,0.04655770183259039,0.0,0.0034422981674096104,0.013442298167409605,0.1057305596830114,0.24489795918367346,0.34057971014492755,0.35758513931888547,0.3862815884476534
2,0.6,0.45,0.6,0.15,0.08411033411033411,0.3997668997668998,0.2863247863247863,0.13034188034188035,0.05788655788655789,0.04156954156954157,0.0,0.008430458430458435,0.019001138966448904,0.04588966588966589,0.27713625866050806,0.33090379008746357,0.3575305291723202,0.38748137108792846
